Boro,Station (alphabetical by borough),2012,Boro,Station (alphabetical by borough),2012,Check
Brooklyn,Myrtle Av J train icon M train icon Z train icon,13372,Brooklyn,Myrtle Av J train icon M train icon Z train icon,10098,TRUE
Brooklyn,Myrtle-Willoughby Avs G train icon,5353,Brooklyn,Myrtle-Willoughby Avs G train icon,4581,TRUE
Brooklyn,Myrtle-Wyckoff Avs L train icon M train icon,23285,Brooklyn,Myrtle-Wyckoff Avs L train icon M train icon,17537,TRUE
Brooklyn,Nassau Av G train icon,8344,Brooklyn,Nassau Av G train icon,8096,TRUE
Brooklyn,Neck Rd Q train icon,3460,Brooklyn,Neck Rd Q train icon,3834,TRUE
Brooklyn,Neptune Av F train icon,1440,Brooklyn,Neptune Av F train icon,1705,TRUE
Brooklyn,Nevins St 2 train icon 3 train icon 4 train icon 5 train icon,10022,Brooklyn,Nevins St 2 train icon 3 train icon 4 train icon 5 train icon,11653,TRUE
Brooklyn,New Lots Av 3 train icon,5436,Brooklyn,New Lots Av 3 train icon,6214,TRUE
Brooklyn,New Lots Av L train icon,4744,Brooklyn,New Lots Av L train icon,4475,TRUE
Brooklyn,New Utrecht Av N train icon/62 St D train icon,8504,Brooklyn,New Utrecht Av N train icon/62 St D train icon,5883,TRUE
Brooklyn,Newkirk Av 2 train icon 5 train icon,6854,Brooklyn,Newkirk Av 2 train icon 5 train icon,7604,TRUE
Brooklyn,Newkirk Plaza B train icon Q train icon,10004,Brooklyn,Newkirk Plaza B train icon Q train icon,9890,TRUE
Brooklyn,Norwood Av J train icon Z train icon,3957,Brooklyn,Norwood Av J train icon Z train icon,3518,TRUE
Brooklyn,Nostrand Av 3 train icon,5192,Brooklyn,Nostrand Av 3 train icon,4113,TRUE
Brooklyn,Nostrand Av A train icon C train icon,21437,Brooklyn,Nostrand Av A train icon C train icon,16439,TRUE
Brooklyn,Ocean Pkwy Q train icon,3542,Brooklyn,Ocean Pkwy Q train icon,3155,TRUE
Brooklyn,Park Pl S train icon,2397,Brooklyn,Park Pl S train icon,2201,TRUE
Brooklyn,Parkside Av Q train icon,6891,Brooklyn,Parkside Av Q train icon,5729,TRUE
Brooklyn,Pennsylvania Av 3 train icon,4783,Brooklyn,Pennsylvania Av 3 train icon,5696,TRUE
Brooklyn,President St 2 train icon 5 train icon,3395,Brooklyn,President St 2 train icon 5 train icon,3815,TRUE
Brooklyn,Prospect Av R train icon,6018,Brooklyn,Prospect Av R train icon,6147,TRUE
Brooklyn,Prospect Park B train icon Q train icon S train icon,11561,Brooklyn,Prospect Park B train icon Q train icon S train icon,9024,TRUE
Brooklyn,Ralph Av C train icon,6042,Brooklyn,Ralph Av C train icon,5175,TRUE
Brooklyn,Rockaway Av 3 train icon,4906,Brooklyn,Rockaway Av 3 train icon,5636,TRUE
Brooklyn,Rockaway Av C train icon,5512,Brooklyn,Rockaway Av C train icon,5089,TRUE
Brooklyn,Saratoga Av 3 train icon,4525,Brooklyn,Saratoga Av 3 train icon,5697,TRUE
Brooklyn,Sheepshead Bay B train icon Q train icon,11495,Brooklyn,Sheepshead Bay B train icon Q train icon,14083,TRUE
Brooklyn,Shepherd Av C train icon,3405,Brooklyn,Shepherd Av C train icon,3034,TRUE
Brooklyn,Smith-9 Sts F train icon G train icon,0,Brooklyn,Smith-9 Sts F train icon G train icon,0,TRUE
Brooklyn,Sterling St 2 train icon 5 train icon,5932,Brooklyn,Sterling St 2 train icon 5 train icon,5899,TRUE
Brooklyn,Sutter Av L train icon,4989,Brooklyn,Sutter Av L train icon,4437,TRUE
Brooklyn,Sutter Av-Rutland Rd 3 train icon,6469,Brooklyn,Sutter Av-Rutland Rd 3 train icon,7713,TRUE
Brooklyn,Union St R train icon,7627,Brooklyn,Union St R train icon,6935,TRUE
Brooklyn,Utica Av A train icon C train icon,17320,Brooklyn,Utica Av A train icon C train icon,14327,TRUE
Brooklyn,Van Siclen Av 3 train icon,2834,Brooklyn,Van Siclen Av 3 train icon,3431,TRUE
