Date,Name,Rank,Age,Cause,Place of Death,Country of Death,Branch of Service,City,State
2/11/2012,"Cortez, Cesar",Private 1st Class,24,Non-hostile,Bahrain,Bahrain,U.S. Army,Oceanside,California
11/14/2011,"Hickman, David Emanuel",Specialist,23,Hostile - hostile fire - IED attack,Baghdad ,Iraq,U.S. Army,Greensboro,North Carolina
11/3/2011,"Vincent, Dustin D.",1st Lieutenant,25,Hostile - hostile fire - small arms fire,Kirkuk,Iraq,U.S. Army,Mesquite,Texas
10/25/2011,"Robinson, David G.",Sergeant,28,Non-hostile,Riyadh,Saudi Arabia,U.S. Army,Winthrop Harbor,Illinois
10/23/2011,"Charles, Shawn P. T.",Captain,40,Non-hostile,"San Antonio, Texas",USA,U.S. Army,Hickory,North Carolina
10/21/2011,"Shapiro, Steven F.",Private 1st Class,29,Non-hostile,Tallil,Iraq,U.S. Army,Hidden Valley Lake,California
10/17/2011,"Leep Jr., James R.",Staff Sergeant,44,Non-hostile,Babil,Iraq,U.S. Army National Guard,Richmond,Virginia
9/29/2011,"Mills, Adrian G.",Specialist,23,Hostile - hostile fire - indirect fire,Kirkuk,Iraq,U.S. Army,Newnan,Georgia
9/22/2011,"Morales, Andy C.",Sergeant,32,Non-hostile,Baghdad ,Iraq,U.S. Army,Longwood,Florida
9/18/2011,"Altamirano, Estevan",Staff Sergeant,30,Non-hostile,Tikrit,Iraq,U.S. Army,Edcouch,Texas
9/7/2011,"Crawford, James K.",Comandor,50,Non-hostile,Manama,Bahrain,U.S. Navy,East Concord,New York
7/17/2011,"Cofield, Mark A.",Sergeant,25,Non-hostile,Baghdad,Iraq,U.S. Army,Colorado Springs,Colorado
7/15/2011,"Elliott, Daniel L.",Specialist,21,Hostile - hostile fire - IED attack,Basra,Iraq,U.S. Army,Youngsville,North Carolina
7/10/2011,"Talamantez, Steven L.",Sergeant,34,Hostile - hostile fire - indirect fire,Al Amarah,Iraq,U.S. Army,Laredo,Texas
7/7/2011,"Beyers, Nathan R.",Specialist,24,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army National Guard,Littleton,Colorado
7/7/2011,"Newby, Nicholas W.",Specialist,20,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army National Guard,Coeur d’Alene,Idaho
6/29/2011,"Nielson, Matthew G.",Captain,27,Hostile - hostile fire - rocket attack,Badrah,Iraq,U.S. Army,Jefferson,Iowa
6/29/2011,"Van Camp, David E.",Captain,29,Hostile - hostile fire - rocket attack,Badrah,Iraq,U.S. Army,Wheeling,West Virginia
6/29/2011,"Tenney Jr., Robert G.",Specialist,29,Hostile - hostile fire - rocket attack,Badrah,Iraq,U.S. Army,Warner Robins,Georgia
6/26/2011,"Gallagher, Matthew R.",Specialist,22,Non-hostile - suicide,Wasit,Iraq,U.S. Army,North Falmouth,Massachusetts
6/26/2011,"Proctor, Russell J.",Staff Sergeant,25,Hostile - hostile fire,Diyala,Iraq,U.S. Army,Oroville,California
6/26/2011,"Johnson, Dylan Jeffrey",Private 1st Class,20,Hostile - hostile fire - grenade,Diyala,Iraq,U.S. Army,Tulsa,Oklahoma
6/18/2011,"Cintron, Marcos A.",Specialist,32,Hostile - hostile fire - Rocket fire,"Boston, MA",USA,U.S. Army,Orlando,Florida
6/13/2011,"Sewell, Glenn M.",Sergeant,23,Hostile - hostile fire - IED attack,Wasit,Iraq,U.S. Army,Live Oak,Texas
6/13/2011,"Bellard, Nicholas P. ",Staff Sergeant,26,Hostile - hostile fire - IED attack,Wasit,Iraq,U.S. Army,El Paso,Texas
6/8/2011,"England, Matthew J.",Private 1st Class,22,Hostile - hostile fire - IED attack,Najaf,Iraq,U.S. Army,Gainesville,Missouri
6/6/2011,"Campo Jr., Emilio J.",Specialist,20,Hostile - hostile fire - Rocket fire,Baghdad (southeastern part),Iraq,U.S. Army,Madelia,Minnesota
6/6/2011,"Fishbeck, Christopher B.",Specialist,24,Hostile - hostile fire - Rocket fire,Baghdad (southeastern part),Iraq,U.S. Army,Victorville,California
6/6/2011,"Hartwick, Robert P.",Specialist,20,Hostile - hostile fire - Rocket fire,Baghdad (southeastern part),Iraq,U.S. Army,Rockbridge,Ohio
6/6/2011,"Olivieri, Michael C.",Private 1st Class,26,Hostile - hostile fire - Rocket fire,Baghdad (southeastern part),Iraq,U.S. Army,Chicago,Illinois
6/6/2011,"Cook Jr., Michael B.",Specialist,27,Hostile - hostile fire - Rocket fire,Baghdad (southeastern part),Iraq,U.S. Army,Middletown,Ohio
5/22/2011,"Beattie, Clifford E.",Sergeant 1st Class,37,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Medical Lake,Washington
5/22/2011,"Mora Jr., Ramon",Private 1st Class,19,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army,Ontario,California
4/29/2011,"Friese, Robert M.",Private 1st Class,21,Hostile - hostile fire - RPG attack,Al Qadisiyah,Iraq,U.S. Army,Chesterfield,Michigan
4/27/2011,"Lara, Andrew E.",Specialist,25,Non-hostile,Babil,Iraq,U.S. Army,Albany,Oregon
4/22/2011,"Vazquez, Omar J.",1st Lieutenant,25,Hostile - hostile fire - IED attack,Numaniyah,Iraq,U.S. Army,Hamilton,New Jersey
4/22/2011,"Stiggins, Antonio G.",Private 1st Class,25,Hostile - hostile fire - IED attack,Numaniyah,Iraq,U.S. Army,Rio Rancho,New Mexico
4/19/2011,"Hill, Micah Aaron",Petty Officer 3rd Class,27,Non-hostile,Unknown,Iraq,U.S. Navy,Ralston,Nebraska
4/10/2011,"Xaysana, Vorasack T.",Sergeant,30,Non-hostile,Kirkuk,Iraq,U.S. Army,Westminster,Colorado
4/4/2011,"Nelson III, Gary L.",Specialist,20,Non-hostile,Mosul,Iraq,U.S. Army,Woodstock,Georgia
4/4/2011,"Hinkley, Wesley J.",Captain,36,Non-hostile,Baghdad,Iraq,U.S. Army,Carlisle,Pennsylvania
4/3/2011,"Scatliffe, Jorge A.",Sergeant,32,Non-hostile,Mosul,Iraq,U.S. Army,St. Croix,U.S. Virgin Islands
4/2/2011,"Hudgins, Quadi S.",Staff Sergeant,26,Hostile - hostile fire - indirect fire,Baghdad ,Iraq,U.S. Army,New Orleans,Louisiana
4/2/2011,"Garcia, Christian A. S.",Staff Sergeant,30,Hostile - hostile fire - indirect fire,Babil,Iraq,U.S. Army,Goodyear,Arizona
3/20/2011,"Hocking, Brandon S.",Corporal,24,Hostile - hostile fire - IED attack,Samawah,Iraq,U.S. Army,Seattle,Washington
3/16/2011,"Hinkle II, Michael J.",Senior Airman,24,Non-hostile,Southwest Asia,Southwest Asia,U.S. Air Force,Corona,California
2/17/2011,"Johnson, Christoffer P.",Airman,20,Non-hostile - vehicle accident,Al Udeid Air Base,Qatar,U.S. Air Force,Clarksville,Tennessee
2/17/2011,"Owens, Corey C.",Airman 1st Class,26,Non-hostile,Al Asad Air Base,Iraq,U.S. Air Force,San Antonio,Texas
2/15/2011,"Evans,Lashawn D. ",Specialist,24,Non-hostile,Baghdad ,Iraq,U.S. Army,Columbia,South Carolina
1/17/2011,"Evarts, Michael S.",Major,41,Non-hostile,Tikrit,Iraq,U.S. Army,Concord,Ohio
1/15/2011,"Torre, Jr., Jose A.",Specialist,21,Hostile - hostile fire - RPG attack,Baghdad ,Iraq,U.S. Army,Garden Grove,California
1/15/2011,"Bartley, Michael P.",Sergeant,23,Hostile - hostile fire - small arms fire,Mosul,Iraq,U.S. Army,Barnhill,Illinois
1/15/2011,"Lamar, Martin J.",Specialist,43,Hostile - hostile fire - small arms fire,Mosul,Iraq,U.S. Army,Sacramento,California
1/2/2011,"Rosado, Jose M. Cintron",Not reported yet,38,Hostile - hostile fire - IED attack,Taji,Iraq,U.S. Army National Guard,Vega Alta,Puerto Rico
1/2/2011,"Arroyo, Jose A. Delgado",Specialist,41,Hostile - hostile fire - IED attack,Taji,Iraq,U.S. Army National Guard,San Juan,Puerto Rico
12/8/2010,"Finch, David D.",Private 1st Class,24,Hostile - hostile fire - sniper fire,Numaniya,Iraq,U.S. Army,Bath Springs,Tennessee
11/21/2010,"Luff Jr., David J.",Sergeant,0,Hostile - hostile fire - small arms fire,Tikrit,Iraq,U.S. Army,Hamilton,Ohio
11/19/2010,"Gandy, Loleni W.",Staff Sergeant,36,Non-hostile,Joint Base Balad,Iraq,U.S. Army,Pago Pago,American Samoa
10/24/2010,"Jones Jr., David R.",Private 1st Class,21,Non-hostile - small arms fire,Baghdad ,Iraq,U.S. Army,Saint Johnsville,New York
10/16/2010,"Reid, Dylan T.",Private 1st Class,24,Non-hostile,Al Amarah,Iraq,U.S. Army,Springfield,Missouri
9/27/2010,"Whisenant, Marc C.",Specialist,23,Non-hostile - vehicle rollover,Kuwait,Kuwait,U.S. Army National Guard,Holly Hill,Florida
9/24/2010,"Carrillo Jr., John",Specialist,20,Non-hostile - small arms fire,Falluja,Iraq,U.S. Army,Stockton,California
9/24/2010,"Noonan, Gebrah P.",Private 1st Class,26,Non-hostile - small arms fire,Falluja,Iraq,U.S. Army,Watertown ,Connecticut
9/16/2010,"Burner III, John F.",Sergeant,32,Non-hostile - illness - pulmonary embolis,Iskandariyah,Iraq,U.S. Army,Baltimore,Maryland
9/15/2010,"Hansen, James A.",Senior Airman,25,Non-hostile - controlled detonation,Joint Base Balad,Iraq,U.S. Air Force,Athens,Michigan
9/7/2010,"Jenkins, Philip C.",Sergeant,26,Hostile - hostile fire - small arms fire,Tuz Khurmato,Iraq,U.S. Army,Decatur,Indiana
9/7/2010,"McClamrock, James F.",Private 1st Class,22,Hostile - hostile fire - small arms fire,Tuz Khurmato,Iraq,U.S. Army,Huntersville,North Carolina
8/22/2010,"Maggart, Brandon E.",Sergeant,24,Hostile - hostile fire - indirect fire,Basra,Iraq,U.S. Army,Kirksville,Missouri
8/15/2010,"Rhett, Jamal M.",Specialist,24,Hostile - hostile fire - grenade,Baquba,Iraq,U.S. Army,Palmyra,New Jersey
8/7/2010,"Hinkley, Faith R.",Specialist,23,Hostile - hostile fire ,Iskandariya (died in Baghdad),Iraq,U.S. Army,Colorado Springs,Colorado
7/21/2010,"Runyan, Michael L.",1st Lieutenant,24,Hostile - hostile fire - IED attack,Muqdadiyah (died in Balad),Iraq,U.S. Army,Newark,Ohio
7/2/2010,"Tuttle, Jordan E.",Sergeant,22,Non-hostile,Baghdad ,Iraq,U.S. Army National Guard,West Monroe,Louisiana
7/2/2010,"Lumpkin, Johnny W.",Sergeant,38,Non-hostile,Balad,Iraq,U.S. Army,Columbus,Georgia
7/2/2010,"McBeth, Morganne M.",Specialist,19,Non-hostile,Al Asad,Iraq,U.S. Army,Fredricksburg,Virginia
6/26/2010,"Haynes, Bryant J.",Private 1st Class,21,Non-hostile - vehicle rollover,Diwaniyah,Iraq,U.S. Army National Guard,Epps,Louisiana
6/21/2010,"Dohrenwend, Jacob P.",Specialist,20,Non-hostile,Balad,Iraq,U.S. Army,Milford,Ohio
6/17/2010,"Cassidy, Michael P.",Captain,41,Non-hostile,Mosul,Iraq,U.S. Army,Simpsonville,South Carolina
6/15/2010,"Opat, Christopher W.",Specialist,29,Non-hostile,Ba'qubah,Iraq,U.S. Army,Spencer,Iowa
6/11/2010,"Obryan, Israel P.",Sergeant,24,Hostile - hostile fire - IED attack,Jalawla,Iraq,U.S. Army,Newbern,Tennessee
6/11/2010,"Yauch, William C.",Specialist,23,Hostile - hostile fire - IED attack,Jalawla,Iraq,U.S. Army,Batesville,Arkansas
6/4/2010,"Theobald, Steve M.",Sergeant,53,Non-hostile - vehicle rollover,Kuwait City,Kuwait,U.S. Army,Goose Creek,South Carolina
6/2/2010,"Guardado-Ramirez, Francisco J.",Private 1st Class,21,Non-hostile,Baghdad ,Iraq,U.S. Army,Sunland ,New Mexico
5/30/2010,"Sessarego, Alvaro R. Regalado",Private 1st Class,37,Non-hostile,"Brooke Army Med Center, TX",USQ,U.S. Army,Virginia Beach,Virginia
5/24/2010,"Culver Jr, Ronald W.",Major,44,Hostile - hostile fire - IED attack,Numaniyah,Iraq,U.S. Army National Guard,Shreveport,Louisiana
5/21/2010,"Gonzalez, Amilcar H.",Staff Sergeant,26,Hostile - hostile fire - small arms fire,Ash Shura,Iraq,U.S. Army,Miami,Florida
5/20/2010,"Sokolowski, III, Stanley J. ",Specialist,26,Non-hostile,Kirkuk,Iraq,U.S. Army,Ocean,New Jersey
5/4/2010,"Mena, Ralph",Sergeant,27,Non-hostile,Tikrit,Iraq,U.S. Army,Hutchinson,Kansas
5/3/2010,"Gonzales, Esau S.A.",Staff Sergeant,30,Non-hostile,Mosul,Iraq,U.S. Army,White Deer,Texas
4/27/2010,"Magee, Anthony O. ",Sergeant,29,Hostile - hostile fire - indirect fire,Landstuhl Regional Medical Center (Iskandariyah),Germany,U.S. Army,Hattiesburg,Mississippi
4/27/2010,"Coe, Keith A.",Sergeant,30,Hostile - hostile fire - IED attack,Khalis,Iraq,U.S. Army,Auburndale,Florida
4/22/2010,"Worrell, Christopher D.",Staff Sergeant,35,Non-hostile,Baghdad,Iraq,U.S. Army,Virginia Beach,Virginia
4/18/2010,"Antonio, Charlie C.",Private 1st Class,28,Non-hostile,Annassar,Iraq,U.S. Army,Kahului,Hawaii
4/17/2010,"Patton, James R.",Staff Sergeant,23,Non-hostile - helicopter crash,Tikrit,Iraq,U.S. Army,Fort Benning,Georgia
4/7/2010,"Collins, Robert W.",1st Lieutenant,24,Hostile - hostile fire - IED attack,Mosul,Iraq,U.S. Army,Tyrone,Georgia
4/7/2010,"Blount, Anthony",Private 1st Class,21,Hostile - hostile fire - IED attack,Mosul,Iraq,U.S. Army,Petal,Mississippi
4/4/2010,"Kruize, Kurt E.",Sergeant,35,Non-hostile,Baghdad ,Iraq,U.S. Army Reserve,Hancock,Minnesota
3/29/2010,"Pacleb, Raymond N.",Private 1st Class,31,Non-hostile,Baghdad,Iraq,U.S. Army,Honolulu,Hawaii
3/17/2010,"Rieckhoff, Robert",Specialist,26,Hostile - hostile fire - RPG attack,Baghdad ,Iraq,U.S. Army,Kenosha,Wisconsin
3/15/2010,"Jordan, Richard J.",Staff Sergeant,29,Non-hostile - vehicle rollover,Mosul,Iraq,U.S. Army,Tyler,Texas
3/14/2010,"McLyman, Erin L.",Private 1st Class,26,Hostile - hostile fire - mortar attack,Balad,Iraq,U.S. Army,Federal Way,Washington
3/13/2010,"Bishop, Steven J.",Specialist,29,Hostile - hostile fire,Tikrit,Iraq,U.S. Army,Christiansburg,Virginia
3/8/2010,"Arthur, Aaron M.",Sergeant,25,Non-hostile - vehicle accident,Al Kut,Iraq,U.S. Army,Lake City,South Carolina
3/8/2010,"Bailey, Lakeshia M.",Specialist,23,Non-hostile - vehicle accident,Al Kut,Iraq,U.S. Army,Columbus,Georgia
2/25/2010,"Spencer, William C.",Sergeant,40,Hostile - hostile fire,"Landstuhl Regional Medical Center, Landstuhl Germany",Iraq,U.S. Army National Guard,Tacoma,Washington
2/23/2010,"O’Leary, Daniel T.",Corporal,23,Non-hostile - vehicle accident,Falluja,Iraq,U.S. Army,Youngsville,North Carolina
2/21/2010,"Grinder, Billie J.",Chief Warrant Officer,25,Non-hostile - helicopter crash,Qayyarah,Iraq,U.S. Army National Guard,Gallatin,Tennessee
2/21/2010,"Alford, Marcus R.",Captain,28,Non-hostile - helicopter crash,Qayyarah,Iraq,U.S. Army National Guard,Knoxville,Tennessee
2/16/2010,"Caughman, Sean L.",Petty Officer 1st Class,43,Non-hostile,Kuwait,Kuwait,U.S. Navy,Fort Worth,Texas
2/10/2010,"Alvarez, Adriana",Private 1st Class,20,Non-hostile,Baghdad ,Iraq,U.S. Army,San Benito,Texas
1/28/2010,"Barnett, Scott G.",Private 1st Class,24,Hostile - hostile fire,Tallil,Iraq,U.S. Army,Concord,California
1/20/2010,"Hurt, Gifford E.",Private 1st Class,19,Non-hostile - vehicle accident,Mosul,Iraq,U.S. Army,Yonkers,New York
1/8/2010,"Hopkins, Ryan J.",Sergeant,21,Non-hostile - vehicle accident,"Brooke Army Med Center, TX",,U.S. Army,Livermore,California
1/6/2010,"Jarrett, Michael R.",Private 1st Class,20,Non-hostile,Balad,Iraq,U.S. Army,North Platte,Nebraska
1/6/2010,"Croft Jr., David A.",Specialist,22,"Hostile - hostile fire - IED, small arms fire",Baghdad ,Iraq,U.S. Army,Plant City,Florida
1/1/2010,"Anderson, Brushaun X.",Specialist,20,Non-hostile,Baghdad ,Iraq,U.S. Army,Columbus,Georgia
12/11/2009,"Pauley, Jaiciae L.",Private 1st Class,29,Non-hostile,Kirkuk,Iraq,U.S. Army,Austell,Georgia
12/10/2009,"Tello, Jhanner A.",Private,29,Non-hostile,Baghdad ,Iraq,U.S. Army,Los Angeles,California
12/8/2009,"Frietas, Ralph Anthony Webb",Sergeant,23,Non-hostile,Baghdad,Iraq,U.S. Marine,Detroit,Michigan
11/29/2009,"Gwaltney, Derrick D.",Private 1st Class,21,Non-hostile,Basra,Iraq,U.S. Army,Cape Coral,Florida
11/27/2009,"Rogers, Michael A.",Private 1st Class,23,Non-hostile,Baghdad  (FOB Hammer),Iraq,U.S. Army, White Sulphur Springs,Montana
11/22/2009,"Williams, Briand T.",Sergeant,25,Hostile - hostile fire - small arms fire,Numaniyah,Iraq,U.S. Army,Sparks,Georgia
11/19/2009,"Patton, Brian M.",Petty Officer 2nd Class,37,Non-hostile,Kuwait,Kuwait,U.S. Naval Reserve,Freeport,Illinois
11/16/2009,"Zorn, Ryan L.",Staff Sergeant,35,Non-hostile - vehicle rollover,Tall Afar,Iraq,U.S. Army,Upton,Wyoming
11/9/2009,"Murphy, Stephen L.",Staff Sergeant,36,Non-hostile,Al Anbar Province,Iraq,U.S. Marine,Jaffery,New Jersey
11/8/2009,"Scott III, Earl R.",Chief Warrant Officer,24,Non-hostile - helicopter crash,Tikrit,Iraq,U.S. Army,Jacksonville,Florida
11/8/2009,"Heffelfinger, Mathew C.",Chief Warrant Officer,29,Non-hostile - helicopter crash,Tikrit,Iraq,U.S. Army,Kimberly,Idaho
11/4/2009,"Tirador, Amy C.",Staff Sergeant,29,Non-hostile,KirKush,Iraq,U.S. Army,Albany,New York
11/4/2009,"Carrasco Jr., Tony",Specialist,25,Hostile - hostile fire - small arms fire,Ad Dawr,Iraq,U.S. Army,Berino,New Mexico
11/2/2009,"Sylvestre, Jonathon M.",Not yet reported,21,Non-hostile,Iskandariya (FOB Kalsu),Iraq,U.S. Army,Colorado Springs,Colorado
10/30/2009,"Cooper, Christopher M.",Specialist,28,Non-hostile,Babil,Iraq,U.S. Army,Oceanside,California
10/30/2009,"Hopper, Lukas C.",Private 1st Class,20,Non-hostile - vehicle rollover,Baghdad (Karadah),Iraq,U.S. Army,Merced,California
10/29/2009,"Avila, Adrian L.",Specialist,19,Non-hostile,Khabari Crossing,Kuwait,U.S. Army National Guard,Opelika,Alabama
10/28/2009,"Gallegos, Joseph L.",Not yet reported,39,Non-hostile,Tallil (Camp Adder),Iraq,U.S. Army National Guard,Questa,New Mexico
10/27/2009,"Audo, David L.",Major,36,Non-hostile,Baghdad (Camp Victory),Iraq,U.S. Army,Saint Joseph,Illinois
10/19/2009,"Espinoza, Bradley",Staff Sergeant,26,Hostile - hostile fire - IED attack,Qwest,Iraq,U.S. Army,Mission,Texas
10/18/2009,"Rivera, Daniel J.",Private 1st Class,22,Non-hostile - vehicle accident,Mosul,Iraq,U.S. Army,Rochester,New York
10/6/2009,"Hervas, Tad T.",Major,48,Non-hostile - suicide,Basra (Contingency Operating Base Basra),Iraq,U.S. Army National Guard,Coon Rapids,Minnesota
10/1/2009,"Andersen, Paul E.",Specialist,49,Hostile - hostile fire - mortar attack,Baghdad (Camp Liberty),Iraq,U.S. Army National Guard,Dowagiac,Michigan
9/29/2009,"Vogel, III, Ross E.",Specialist,27,Non-hostile,Kut,Iraq,U.S. Army,Red Lion,Pennsylvania
9/20/2009,"Courtois, Matthew R.",Senior Airman,22,Non-hostile,Abdullah Al Mubarak Airbase,Kuwait,U.S. Air Force,Lucas,Texas
9/19/2009,"Cote Jr., Michael S.",Specialist,20,Non-hostile - helicopter crash,Joint Base Balad,Iraq,U.S. Army,Denham Springs,Louisiana
9/12/2009,"Thornsbury, Duane A.",Sergeant 1st Class,30,Non-hostile - vehicle rollover,Baghdad ,Iraq,U.S. Army,Bridgeport,West Virginia
9/8/2009,"Myers, Zachary T.",Private 1st Class,21,Hostile - hostile fire - IED attack,Bayji,Iraq,U.S. Army,Delaware,Ohio
9/8/2009,"Lyons, Thomas F.",Private 1st Class,20,Hostile - hostile fire - IED attack,Bayji,Iraq,U.S. Army,Fernley,Nevada
9/8/2009,"Smith, Shannon M. ",Staff Sergeant,31,Hostile - hostile fire - IED attack,Bayji,Iraq,U.S. Army,Marion,Ohio
9/8/2009,"Helton, Joseph D.",1st Lieutenant,24,Hostile - hostile fire - IED attack,Baghdad (near southern part),Iraq,U.S. Air Force,Monroe,Georgia
9/3/2009,"Shay, Jordan M.",Specialist,22,Non-hostile - vehicle rollover,Ba'qubah,Iraq,U.S. Army,Salisbury,Massachusetts
9/3/2009,"Selge, Todd W.",Staff Sergeant,25,Non-hostile - vehicle rollover,Ba'qubah,Iraq,U.S. Army,Burnsville,Minnesota
8/28/2009,"Marks, Taylor D.",Private,19,Hostile - hostile fire - IED attack,Rashid,Iraq,U.S. Army National Guard,Monmouth,Oregon
8/28/2009,"Werner, Earl D.",Sergeant,38,Hostile - hostile fire - IED attack,Rashid,Iraq,U.S. Army National Guard,Mondovi,Wisconsin
8/23/2009,"Fortin, Joey",2nd Lieutenant,22,Hostile - hostile fire - IED attack,Muhallah (near Baghdad),Iraq,U.S. Army,St. Johnsbury,Vermont
8/19/2009,"Vanosdol, William Z.",Private 1st Class,23,Hostile - hostile fire - rocket attack,Diwaniyah,Iraq,U.S. Army,Pinson,Alabama
8/17/2009,"Hastings, Matthew D.",Specialist,23,Non-hostile,Baghdad,Iraq,U.S. Army,Claremore,Oklahoma
8/10/2009,"Walters Jr., Richard A.",Specialist,41,Non-hostile,Al Salem,Kuwait,U.S. Army,Cleveland,Ohio
8/4/2009,"Wilhelm, Keiffer P.",Private,19,Non-hostile - suicide,FOB Hunter,Iraq,U.S. Army,Plymouth,Ohio
7/25/2009,"Polk, Johnny Roosevelt",Staff Sergeant,39,Hostile - hostile fire,Landstuhl Reg. Med. Ctr.,Iraq,U.S. Army,Gulfport,Texas
7/24/2009,"Berrios-Campos, Herberth A.",Specialist,21,Non-hostile,Salman Pak,Iraq,U.S. Army,Bealeton,Virginia
7/19/2009,"Lara, Brandon T.",Lance Corporal,20,Hostile - hostile fire,Al Anbar Province,Iraq,U.S. Marine,New Braunfels,Texas
7/16/2009,"Wertish, James D.",Specialist,20,Hostile - hostile fire - indirect fire,Basra (COB Basra),Iraq,U.S. Army,Olivia,Minnesota
7/16/2009,"Wilcox IV, Carlos E.",Specialist,27,Hostile - hostile fire - indirect fire,Basra (COB Basra),Iraq,U.S. Army,Cottage Grove,Minnesota
7/16/2009,"Drevnick, Daniel P.",Specialist,22,Hostile - hostile fire - indirect fire,Basra (COB Basra),Iraq,U.S. Army,Woodbury,Minnesota
7/13/2009,"Jarvis, Rodney A.",Chief Warrant Officer,34,Non-hostile - medical,Baghdad,Iraq,U.S. Army,Akron,Ohio
7/8/2009,"Bregg, Lucas M.",Private,19,Non-hostile,Baghdad,Iraq,U.S. Army,Wright City,Missouri
6/29/2009,"Kramer, Edward C.",Sergeant 1st Class,39,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army National Guard,Wilmington,North Carolina
6/29/2009,"Adams Jr., Roger L.",Sergeant,36,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army National Guard,Jacksonville,North Carolina
6/29/2009,"Baldeosingh, Juan C.",Sergeant,30,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army National Guard,Newport,North Carolina
6/29/2009,"Bittiker, Robert L.",Specialist,39,Hostile - hostile fire - IED attack,Baghdad,Iraq,U.S. Army National Guard,Jacksonville,North Carolina
6/28/2009,"David, Timothy A.",Sergeant,28,Hostile - hostile fire - IED attack,Baghdad (Sadr City),Iraq,U.S. Army,Gladwin,Michigan
6/25/2009,"Hazlewood, Joshua L.",Specialist,22,Non-hostile,Arifjan,Kuwait,U.S. Army Reserve,Manvel,Texas
6/24/2009,"Hills, Casey L.",Specialist,23,Non-hostile - vehicle rollover,Iraq,Iraq,U.S. Army,Salem,Illinois
6/19/2009,"Keesling, Chancellor A.",Specialist,25,Non-hostile,Baghdad,Iraq,U.S. Army Reserve,Indianapolis,Indiana
6/16/2009,"Sims, Kafele H.",Captain,32,Non-hostile,Mosul,Iraq,U.S. Army,Los Angeles,California
6/16/2009,"Soto, Joshua W.",Sergeant,25,Hostile - hostile fire - IED attack,Samawah,Iraq,U.S. Army,San Angelo,Texas
6/13/2009,"Lo, Edmond L.",Staff Sergeant,23,Hostile - hostile fire - IED attack,Samarra,Iraq,U.S. Army,Salem,New Hampshire
6/5/2009,"Ulmer, Robert D.",Lance Corporal,22,Non-hostile,Al Anbar Province,Iraq,U.S. Marine,Landisville,Pennsylvania
6/4/2009,"Parrish, Charles D.",Specialist,23,Hostile - hostile fire - grenade,Balad,Iraq,U.S. Army,Jasper,Alabama
6/4/2009,"Kurth, Christopher M.",Specialist,23,Hostile - hostile fire - grenade,Kirkuk,Iraq,U.S. Army,Alamogordo,New Mexico
6/2/2009,"Duffy, Justin J.",Sergeant,31,Hostile - hostile fire - IED attack,Baghdad (eastern part),Iraq,U.S. Army,Cozad,Nebraska
5/31/2009,"Samson, Marko M.",Specialist,31,Non-hostile,Tikrit,Iraq,U.S. Army,Columbus,Ohio
5/30/2009,"Stone, Samuel D.",Private 1st Class,20,Non-hostile - vehicle accident,Tallil,Iraq,U.S. Army National Guard,Port Orchard,Washington
5/29/2009,"Iorio, Bradley W.",Private,19,Non-hostile,Landstuhl Reg. Med. Ctr. (Tallil),Iraq,U.S. Army,Galloway,New Jersey
5/29/2009,"Lee, Thomas E.",Private,20,Hostile - hostile fire - grenade,Mosul (near),Iraq,U.S. Army,Dalton,Georgia
5/27/2009,"Edmundson, Chad A.",Specialist,20,Hostile - hostile fire - IED attack,Baghdad (eastern part),Iraq,U.S. Army,Williamsburg,Pennsylvania
5/25/2009,"Hussein, Maged M.",,43,Hostile - hostile fire - IED attack,Fallujah (died in Al Taqaddum),Iraq,,Cairo,Egypt
5/25/2009,"Wolfe, Duane G.",Commander,54,Hostile - hostile fire - IED attack,Falluja,Iraq,U.S. Navy,Port Hueneme,California
5/22/2009,"Naseman, Brian",Sergeant 1st Class,36,Non-hostile,Baghdad,Iraq,U.S. Army National Guard,New Bremen,Ohio
5/21/2009,"George, Jason E.",Major,38,Hostile - hostile fire - IED attack,Baghdad (Dora),Iraq,U.S. Army Reserve,Tehachapi,California
5/21/2009,"Barnard, Leevi K.",1st Lieutenant,28,Hostile - hostile fire - IED attack,Baghdad (Dora),Iraq,U.S. Army National Guard,Mount Airy,North Carolina
5/21/2009,"Brooks, Paul F.",Sergeant,34,Hostile - hostile fire - IED attack,Baghdad (Dora),Iraq,U.S. Army National Guard,Joplin,Missouri
5/16/2009,"Schaefer, Jr., David A.",Specialist,27,Hostile - hostile fire - IED attack,southern Iraq (Died in Baghdad),Iraq,U.S. Army,Belleville,Illinois
5/13/2009,"McGhee, Ryan C.",Corporal,21,Hostile - hostile fire,Duluiyah,Iraq,U.S. Army,Fredericksburg,Virginia
5/11/2009,"Springle, Charles K.",Commander,52,Non-hostile - small arms fire,Baghdad (Camp Liberty),Iraq,U.S. Navy,Wilmington,North Carolina
5/11/2009,"Bueno-Galdos, Christian E.",Sergeant,25,Non-hostile - small arms fire,Baghdad (Camp Liberty),Iraq,U.S. Army,Paterson,New Jersey
