Date,Name,Rank,Age,Cause,Place of Death,Country of Death,Branch of Service,City,State
4/10/2004,"Carballo, Adolf C.",Specialist,20,Hostile - hostile fire,Baghdad (downtown),Iraq,U.S. Army,Houston,Texas
4/10/2004,"Eckhart, William C.",Sergeant,25,Hostile - hostile fire,Khalis (near),Iraq,U.S. Army,Rocksprings,Texas
4/10/2004,"Sims Jr., John T.",Lance Corporal,21,Hostile - hostile fire,Al Anbar Province,Iraq,U.S. Marine,Alexander City,Alabama
4/10/2004,"Holt, Antoine J.",Airman 1st Class,20,Hostile - hostile fire - mortar attack,Balad (Balad Air Base),Iraq,U.S. Air Force,Kennesaw,Georgia
4/9/2004,"Phelps, Chance R.",Private 1st Class,19,Hostile - hostile fire,Al Anbar Province,Iraq,U.S. Marine,Clifton,Colorado
4/9/2004,"Ayon, Eric A.",Private 1st Class,26,Hostile - hostile fire,Al Anbar Province,Iraq,U.S. Marine,Arleta,California
4/9/2004,"Vandayburg, Allen Jeffrey ""A.J.""",Specialist,20,Hostile - hostile fire - RPG attack,Buhritz (near),Iraq,U.S. Army,Mansfield,Ohio
4/9/2004,"Witmer, Michelle M.",Specialist,20,Hostile - hostile fire - IED attack,Baghdad (NE part),Iraq,U.S. Army National Guard,New Berlin,Wisconsin
4/9/2004,"Jones Jr., Raymond Edison",Staff Sergeant,31,Hostile - hostile fire - ambush,Bayji (S side),Iraq,U.S. Army,Gainesville,Florida
4/9/2004,"Mallet, Toby W.",Staff Sergeant,26,Hostile - hostile fire - ambush,Bayji (S side),Iraq,U.S. Army,Kaplan,Louisiana
4/9/2004,"Enos, Peter G.",Sergeant,24,Hostile - hostile fire - ambush,Bayji (S side),Iraq,U.S. Army,South Dartmouth,Massachusetts
